ticker,company,quarter,earnings_date,quarters_behind,n_history,density_qa,density_z,density_pctile,change_vs_prev_call
YUM,Yum! Brands,2024Q4,2024-11-05,1,42,0.904271905207359,0.8667561559418535,80.95238095238095,0.14643518457353188
MHK,Mohawk Industries,2024Q4,2024-10-26,1,42,1.1547344110854503,0.8625228617230405,78.57142857142857,0.21149997445365476
AMT,American Tower,2024Q3,2024-07-30,2,38,1.1545940690325718,0.8351213107432727,78.94736842105263,0.22379186450103472
MMC,Marsh McLennan,2025Q1,2025-01-30,0,43,1.1652542372881356,0.8308401095937046,79.06976744186046,-0.36220129248757993
BDX,Becton Dickinson,2024Q4,2024-11-07,1,43,0.8130081300813009,0.829972948505923,81.3953488372093,0.08736354153722192
UPS,United Parcel Service,2025Q1,2025-01-30,0,41,0.8208955223880596,0.801443794540773,73.17073170731707,0.1963834224661236
ROK,Rockwell Automation,2024Q4,2024-11-07,1,43,1.0619469026548671,0.7994495390628117,81.3953488372093,0.1875564536890021
CDNS,Cadence Design Systems,2024Q4,2024-10-28,1,42,0.9259259259259258,0.7785575819184605,80.95238095238095,0.34089733930180677
HUBB,Hubbell Incorporated,2024Q4,2024-10-29,1,41,1.3166277341261414,0.7755930126464092,78.04878048780488,-0.12604500695206666
JNPR,Juniper Networks,2023Q4,2023-10-26,5,38,0.989321608040201,0.7721749055669598,76.31578947368422,0.04540156362043413
DRI,Darden Restaurants,2024Q3,2024-09-19,2,41,1.148215481772079,0.7613433542041891,78.04878048780488,0.05704680953059427
FAST,Fastenal,2025Q1,2025-01-17,0,43,1.188340807174888,0.7605304201012947,74.4186046511628,0.3230948530008775
FSLR,First Solar,2024Q4,2024-10-29,1,40,1.2184508268059182,0.7524111303322035,75.0,-0.11192611332711944
REGN,Regeneron Pharmaceuticals,2024Q4,2024-10-31,1,41,1.427615436091903,0.7381956642262595,70.73170731707317,-0.017530096169444453
