ticker,n_quarters,pearson_r,pearson_p,spearman_rho,spearman_p,mean_growth,median_growth
PNC,43,0.023183752167286072,0.8826852990061334,-0.15886439142253098,0.30890300391305103,1.9050384103832645,0.816326530612254
AMT,39,0.02311356586651508,0.8889235854943166,-0.03785425101214575,0.8190319575662272,3.902881879489954,4.710144927536245
DE,43,0.022487278217312275,0.8861861319556988,0.021292660827544548,0.8921958349800813,2.9850439077090485,3.4094020994979455
KR,37,0.021922924939578068,0.897523580851475,0.053816974869606446,0.7517372054167976,2.658868013538542,1.90936277892798
IPG,42,0.02103396330984974,0.8948131614864844,-0.07949112713718501,0.6167880871167382,3.124171722909429,2.576442603065578
TTWO,42,0.016663320291560518,0.9165830541342256,0.03946195608135483,0.804040537614637,-0.47463455976648317,-0.06494706795064983
JNJ,43,0.015420433071854986,0.9218174569096634,-0.004983388704318937,0.9746989364256918,1.3705560756570834,1.66005582488614
TT,43,0.013628306506694809,0.9308802864514885,0.031410450015101184,0.8415181773100093,3.4073389499113342,3.966898725863649
TMUS,40,0.01298175864436662,0.9366320678820584,-0.0028142589118198874,0.9862495028206265,8.821991969089186,5.531520505179513
GE,36,0.009442333954002208,0.9564127451295154,-0.04298584298584299,0.8034166758806162,2.6139983391683685,0.6415598409309444
BALL,42,0.007939439576498623,0.9602009695334215,-0.05226480836236934,0.7423692142773037,1.5993051116702024,1.6847925523633553
WY,43,0.00789649097811677,0.9599186572448578,0.09664753850800363,0.5375439717603462,2.0141864815108756,-1.258470474346554
HIG,43,0.006632491354868849,0.9663305020640001,0.056176381757777095,0.7204922055027566,2.669365003506164,3.2159264931087286
BAC,42,0.0057922784300400475,0.9709588938479149,0.09602139210760878,0.5452385944687732,4.1815968112405395,1.9639295292085364
MLM,42,0.004880867019574291,0.9755269863477074,0.0026740134510979665,0.9865908910400251,4.770303254692119,5.13447853542827
BXP,43,0.002867974888268344,0.9854374898632029,0.08758683177287828,0.5765056335815293,0.1056352659354714,-1.0489510489510423
ORCL,42,0.002431325516706914,0.9878077783868722,0.07219836317964509,0.6495610193491687,1.786835068531572,1.9693908259317263
GWW,32,0.0021839962581575584,0.990534916264205,0.1000733137829912,0.58578896066258,4.027634492791174,2.8866449068407363
DPZ,42,-0.00018461903640332246,0.9990741675781938,0.0052669961915566,0.9735915625703279,4.511293819538777,4.307737293299342
REGN,41,-0.003425097461430299,0.9830437329671408,-0.11324041811846691,0.48084677778565454,6.237940915552114,3.6221243269701517
DOC,40,-0.004526815537760197,0.977883602272836,-0.07091932457786117,0.6636651427985738,19.916502441898665,-2.3276513108210155
DIS,43,-0.004739254267422327,0.9759380553156227,0.05270311084264572,0.7371370298309389,1.681160199104537,3.897637795275581
